model_id,method,budget,experiment_seed,total_coordinate_budget,archive_bits,external_selection_bits,external_hyperparameter_bits,total_description_bits,empirical_language_risk,empirical_visual_risk,empirical_total_semantic_risk,empirical_visual_gain,exploratory_language_radius,exploratory_visual_radius,certified,comparison_claim
M2-root-43101,M2,current,43101,4096,9200,4,0,9204,0.49209737528362635,0.499594243319541,0.4912858619227083,0.0008115133609180617,0.047229515753054785,0.047229515753054785,False,equal_coordinate_budget_not_equal_description_length
M3-root-43101,M3,current,43101,4096,6432,4,0,6436,0.4905732800414003,0.5008615994602961,0.4922964789619923,-0.0017231989205921015,0.047229515753054785,0.047229515753054785,False,equal_coordinate_budget_not_equal_description_length
M2-root-43102,M2,current,43102,4096,10368,4,0,10372,0.49095592414323524,0.4996864039305178,0.49032873200427074,0.0006271921389645035,0.047229515753054785,0.047229515753054785,False,equal_coordinate_budget_not_equal_description_length
M3-root-43102,M3,current,43102,4096,7824,4,0,7828,0.4992658015079927,0.5002183830381336,0.49970256758425996,-0.00043676607626722057,0.047229515753054785,0.047229515753054785,False,equal_coordinate_budget_not_equal_description_length
M2-root-43103,M2,current,43103,4096,10416,4,0,10420,0.4916198982080593,0.5000100925388141,0.4916400832856875,-2.01850776281874e-05,0.047229515753054785,0.047229515753054785,False,equal_coordinate_budget_not_equal_description_length
M3-root-43103,M3,current,43103,4096,6384,4,0,6388,0.4894924563431438,0.5001409216256323,0.4897742995944084,-0.00028184325126454454,0.047229515753054785,0.047229515753054785,False,equal_coordinate_budget_not_equal_description_length
