budget,experiment_seed,difference_direction,total_coordinate_budget,delta_language_risk,delta_visual_risk,delta_total_semantic_risk,delta_description_bits
current,43101,M3_minus_M2,4096,-0.0015240952422260756,0.0012673561407550715,0.001010617039284012,-2768
current,43102,M3_minus_M2,4096,0.008309877364757468,0.0005319791076158209,0.00937383557998922,-2544
current,43103,M3_minus_M2,4096,-0.0021274418649154803,0.00013082908681816274,-0.0018657836912790993,-4032
