budget,seed,P_config_id,S_config_id,P_checkpoint_path,P_checkpoint_sha256,S_checkpoint_path,S_checkpoint_sha256,S_evaluated_archive_path,S_evaluated_archive_sha256,R_P_empirical_smoothed_nll_bits,R_S_empirical_smoothed_nll_bits,delta_R,S_loses_P,L_vis_P,L_vis_S,delta_L_vis_S_minus_P,description_bits_P,description_bits_S,delta_description_bits_S_minus_P,omega_P_complexity_penalty_bits_nll,omega_S_complexity_penalty_bits_nll,G_C,grad_norm_vision_mean,grad_norm_vision_batch_sd,grad_norm_projector_mean,grad_norm_projector_batch_sd,grad_norm_language_mean,grad_norm_language_batch_sd,dot_vision_projector_mean,dot_vision_projector_batch_sd,dot_vision_language_mean,dot_vision_language_batch_sd,dot_projector_language_mean,dot_projector_language_batch_sd,cos_vision_projector_mean,cos_vision_projector_batch_sd,cos_vision_language_mean,cos_vision_language_batch_sd,cos_projector_language_mean,cos_projector_language_batch_sd,D,D_batch_sd,D_norm,D_norm_batch_sd,training_loss_mean,training_loss_batch_sd,g_shared_sum_all_batches_pass,g_shared_sum_max_relative_l2_error,g_shared_sum_max_absolute_error,forward_loss_max_absolute_difference
2048,43101,P-budget-2048-seed-43101,S-budget-2048-seed-43101,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/P-budget-2048-seed-43101/checkpoint.pt,8d69d0ab41adc158e1910acbb32c31915da5cfe36e4e90bb1dc2678f00a441aa,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/S-budget-2048-seed-43101/checkpoint.pt,1138759bacda493c1eef82855a7e8e2fcc878217401f1f8ff8ce40e57c97f3b8,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/S-budget-2048-seed-43101/adapter.mms2,5b4ce426008a6906ac8b28f0e669cf93d9371497d8dc94158182e9847658bb8d,5.734298328175512,6.024665310478756,0.29036698230324376,True,-0.13994036329668194,-0.13919773413781067,0.0007426291588712719,5976,3624,-2352,15.741806518211092,12.276370568568757,3.4654359496423357,0.0029530797246740655,0.0006300948936109237,0.06352398544573043,0.006822363115152818,0.13754003128064612,0.01654856834445592,-2.6458260737008505e-06,3.836603045022039e-06,6.71825571114104e-07,6.890896199315491e-06,6.884096209609413e-05,0.00018345387423575823,-0.013273570265134945,0.022531182536122255,0.003971536766595595,0.019619763758260054,0.00819457573943521,0.021551579184599566,0.015463438415926352,0.003389598207759368,0.664493100856277,0.005565970312016969,2.8758066445589066,0.16391570905369687,True,7.964971320582985e-07,2.36177584156394e-08,0.0
2048,43102,P-budget-2048-seed-43102,S-budget-2048-seed-43102,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/P-budget-2048-seed-43102/checkpoint.pt,2992aeb5c86e53bbb06224c7a3db77f51b742fad7ff94443736598e615815bf9,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/S-budget-2048-seed-43102/checkpoint.pt,69627bfd7afe0547e8d10a1f5eef8ea5ea2169ae8d51d33981c47d971bca43fa,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/S-budget-2048-seed-43102/adapter.mms2,29b4f68f01d2fa7158891a1d72a825a501e733fa4fac078d501b36332c19470b,6.2427506206200585,6.012137970625038,-0.2306126499950203,False,-0.13962446568142867,-0.1396270477130112,-2.5820315825431095e-06,5936,3600,-2336,15.689276806452801,12.23594391934962,3.4533328871031816,0.0060268800468991565,0.0021729909406348197,0.07900581883644475,0.02293624530800235,0.1138612935754835,0.020808005430681058,-5.446770255356038e-06,2.451292343090714e-05,2.2380895022657033e-06,9.657831460996046e-06,7.207319220313963e-05,0.00016208609293091053,0.000489213517904649,0.028664972684226367,0.0018070812075849764,0.017769792374400906,0.010143540935758352,0.01889189941726776,0.013384868859520442,0.0055832606347281325,0.6636250994846769,0.0055884793896395476,2.861920341849327,0.1720990665637282,True,8.240746265057703e-07,2.2482709027826786e-08,0.0
2048,43103,P-budget-2048-seed-43103,S-budget-2048-seed-43103,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/P-budget-2048-seed-43103/checkpoint.pt,321febdffc9c937d2c43675ec922d8e9fc2a8022821c1570090a75d52b2f4645,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/S-budget-2048-seed-43103/checkpoint.pt,a89cc3e386cd0a9cd42abdce5439b43470866f039dedb7dc4dcb8cffb6c48035,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/S-budget-2048-seed-43103/adapter.mms2,b812ed4306c6b83fb9ac7dfc80d8b9356e3068ee1ca7a45e7e534e622bd2126b,5.9714966789730095,5.949330245598655,-0.022166433374354533,False,-0.13939122144891275,-0.14097017956415442,-0.0015789581152416687,5552,3832,-1720,15.17573356813549,12.621303517219932,2.554430050915558,0.00550509833459632,0.004709344556349392,0.09071987604232003,0.031975395058557794,0.1305934734423522,0.020981246375761722,1.4485567966319247e-06,8.791445885957545e-06,-3.3536616621253497e-06,1.5544394898949308e-05,4.437848682828055e-05,0.0002376551459599746,-0.0033766067995463986,0.019061324972104818,-0.007315609432097166,0.023667582401832227,0.0029030145064018924,0.019625752213104246,0.017776399615460584,0.007489740521939014,0.6658756041113347,0.005914566731691844,2.866955891251564,0.16198274237703006,True,8.896737665193124e-07,1.7254933482035995e-08,0.0
4096,43101,P-budget-4096-seed-43101,S-budget-4096-seed-43101,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/P-budget-4096-seed-43101/checkpoint.pt,0acd320c17144d42360bca1dc1e0df5d714907673f6a16319af248d1de85c26e,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/S-budget-4096-seed-43101/checkpoint.pt,fbdee6602f954d7fa8d6d77fb77f1b4d598e742562d003fbaedd9d6bcc9a2880,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/S-budget-4096-seed-43101/adapter.mms2,cf9887964ac8aa19cf0ca7e279410112c821892a43281f1a9a7e8a6bd5539bf2,6.103981161842276,5.909223737944939,-0.19475742389733686,False,-0.14005929397517325,-0.13918951587624684,0.0008697780989264103,9624,5992,-3632,19.959095187417343,15.762769339756227,4.196325847661116,0.003977645409967865,0.000753668516962401,0.07922141649075888,0.015695798067130166,0.1394733362870336,0.013061439421120298,4.4675284612970875e-07,5.7185867725401746e-06,4.55840665101074e-06,8.222105667252443e-06,9.989702203297001e-05,0.00014561520558407158,0.0008045876040977372,0.015055627678599982,0.007898366369454972,0.013265008579950685,0.009137480623525086,0.013391099117040742,0.017354130456303626,0.004112943517090275,0.663943588186408,0.0036905336220453408,2.831096351146698,0.16556949534113136,True,9.289541104654874e-07,1.925945980474353e-08,0.0
4096,43102,P-budget-4096-seed-43102,S-budget-4096-seed-43102,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/P-budget-4096-seed-43102/checkpoint.pt,36e525528c99c139f71ae7737f5b2b2cbfe207dfa29582e96d3a4c5fc51a8257,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/S-budget-4096-seed-43102/checkpoint.pt,f4733b65b8ee0cfe85eb6c96c5baf0a79479d060864f391ac1a7915ca9a39b84,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/S-budget-4096-seed-43102/adapter.mms2,770e7fd1a14914d3464221ffea3eaf042cb6e63bc75a035ad4485e85824e5a22,6.116041777721866,5.67007887758636,-0.44596290013550544,False,-0.14030447659249284,-0.14004914692018516,0.00025532967230768033,10536,7864,-2672,20.880668798316027,18.047983892693104,2.832684905622923,0.004645493476470762,0.001013679958202195,0.08801418890486779,0.014134857677786371,0.13272148962466682,0.006351562218581663,1.0259906996637943e-07,6.8405021371456876e-06,-1.1633442437996745e-06,1.2414136680128965e-05,6.777389697758444e-05,0.0001550067594453686,-0.0013679725195741325,0.01514268391357609,0.00022186635624380074,0.01566132763025265,0.006730536698609843,0.013922275613760126,0.01702830003343406,0.002711030912625337,0.664706424099224,0.004279215092456533,2.818303734064102,0.1683624020582466,True,8.856297366135974e-07,1.409171090926975e-08,0.0
4096,43103,P-budget-4096-seed-43103,S-budget-4096-seed-43103,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/P-budget-4096-seed-43103/checkpoint.pt,fdca3785ceb919c3bb08f5d11d0191d016199499c38865fae2ed465127f3b3a8,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/S-budget-4096-seed-43103/checkpoint.pt,a26dc74c448c9c9547b53c1f865d7818aac125935ca7153e0cae2960fe1f3d7c,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/S-budget-4096-seed-43103/adapter.mms2,a5c63a7895d2ae059fde3d71b745f1dc2b7034ddd512c2f58b6fc84844eb2359,5.866741333513044,5.729930413152499,-0.13681092036054476,False,-0.1409791786789387,-0.14011881173030366,0.0008603669486350329,10200,5120,-5080,20.54595421540534,14.576363428048937,5.969590787356404,0.006346813417421292,0.0014765841331699522,0.09359475430105643,0.016904668717594,0.12957747277790913,0.0094309766784292,1.073167918962304e-06,9.044338800025903e-06,-3.411339076577843e-06,1.4383194517898904e-05,6.976688854076884e-06,0.00019250186086355945,0.0023647409164729654,0.015857878879543933,-0.005415256202494855,0.015653224939241036,0.002103905481775536,0.01407990355281853,0.017292852491943716,0.003871737252050456,0.6660698965890394,0.004485188974419456,2.8620875030755997,0.17245707404112584,True,8.048352138097972e-07,2.0139850676059723e-08,0.0
8192,43101,P-budget-8192-seed-43101,S-budget-8192-seed-43101,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/P-budget-8192-seed-43101/checkpoint.pt,da3b1f24bad559e3cfb9d9426f7f9be1aa8d6d4d17f315b4f162dc3a79905b1d,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/S-budget-8192-seed-43101/checkpoint.pt,55e080fd4e2b743befb85df6f2e8f1ea771c4a5bb3069e1a2cd135c399c24650,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/S-budget-8192-seed-43101/adapter.mms2,78b62146b81ff3f260c022b598882958798938c0da4d38dd64d03949e40eea7c,6.241911312277183,6.260722410732672,0.01881109845548945,True,-0.13959451295938866,-0.13765484140150824,0.0019396715578804125,17272,8208,-9064,26.720142410265055,18.43711227813465,8.283030132130406,0.02642488720768438,0.0034352009682522564,0.24924708296161938,0.03935690484849872,0.17720235439752596,0.014783685900613694,-2.324203584034352e-05,6.703184712623121e-05,1.1677869002755163e-05,5.047265694017921e-05,0.0001046004345670575,0.000391404009087044,-0.005308341089425781,0.00904608343490678,0.002337993913697765,0.010728494044187223,0.0032042301479827395,0.00967150558042482,0.06386542490200439,0.016612962744120215,0.6657908734152884,0.003009140867048251,2.9087530374526978,0.17515375899371252,True,5.763414675177748e-07,2.3039319785311818e-08,0.0
8192,43102,P-budget-8192-seed-43102,S-budget-8192-seed-43102,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/P-budget-8192-seed-43102/checkpoint.pt,9cd3f74d4de0247d7276fa363125a94d510a6fd7ee16c960f71da6add10e249f,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/S-budget-8192-seed-43102/checkpoint.pt,d0dc7f83ba6f84603c10d3b8dcab67d13f3aa8a49d92bad32ac4904d72c6ceca,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/S-budget-8192-seed-43102/adapter.mms2,99b3011a08cf16df447149fd1d4be296efc0937b8e74d8d0df4b9aa43897bb52,6.073542288739626,5.904545014821735,-0.1689972739178911,False,-0.13929427986573012,-0.1392641178766943,3.016198903582623e-05,17024,9920,-7104,26.527959550174533,20.26279983678969,6.265159713384843,0.00835363929543166,0.001766379222401511,0.10082898103249303,0.0193948288515357,0.17774437850375985,0.013590777196993392,4.5126540670385895e-06,8.198634460090346e-06,1.7555444135467647e-06,1.4939785935176818e-05,1.5430948992125882e-05,0.00019428421930771887,0.005324335667939566,0.009377094838073328,0.0010775859456849525,0.009460134922521013,0.0014426259197074874,0.010914273779875899,0.02822424737342695,0.005479942244041214,0.6661676086182947,0.0031000134523362067,2.847467750310898,0.1838238504764082,True,8.433410631472565e-07,2.002070687012747e-08,0.0
8192,43103,P-budget-8192-seed-43103,S-budget-8192-seed-43103,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/P-budget-8192-seed-43103/checkpoint.pt,77f572065933bc95445b67b0832724b3beb8df38bc507af41563c427e85dab45,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/S-budget-8192-seed-43103/checkpoint.pt,04424381925a2b790aa6e6cb3f803da9082d5aea1bf0a3e60e5c68de93484479,/home/lizhaohui/lzq/stage3-ps-formal-20260726-1825/candidates/S-budget-8192-seed-43103/adapter.mms2,7968784fa500d596c3b91db8840f61a4f6382c6f648f2b7dac245805009422ae,6.003386517081077,5.7595109220814775,-0.24387559499959988,False,-0.13842090794884604,-0.14111237160533324,-0.002691463656487203,17680,9856,-7824,27.033340631470132,20.197521152205564,6.835819479264568,0.014750820292543727,0.0028541504140057257,0.12734678561031262,0.019266123636474803,0.16232993264520107,0.012347139163898123,-3.4978707695192733e-06,1.6759685526509487e-05,1.8275775968507814e-06,1.8256926909173618e-05,0.00023359129144872703,0.00020759669446064174,-0.002059522183065989,0.009820070330245127,0.0009708912760224832,0.008387722972240757,0.010455727875325737,0.009156515829992277,0.028701614488493187,0.0046430294131622075,0.6633420759576346,0.00290336544889212,2.8414223343133926,0.16248723183602193,True,7.995096139274983e-07,1.932494342327118e-08,0.0
