model_id,method,category,record_count,image_count,language_risk_mean,language_risk_standard_deviation,language_risk_median,language_risk_p25,language_risk_p75,visual_risk_mean,visual_risk_standard_deviation,visual_risk_median,visual_risk_p25,visual_risk_p75,total_semantic_risk_mean,total_semantic_risk_standard_deviation,total_semantic_risk_median,total_semantic_risk_p25,total_semantic_risk_p75,visual_gain_mean
M0-root-43101,M0,replace_attribute,674,450,0.5064722830275145,0.2613680647069877,0.5033096918024831,0.3188408526816356,0.704863313306562,0.5,6.366999717856982e-18,0.5,0.5,0.5,0.5064722830275145,0.2613680647069877,0.5033096918024831,0.31884085268163553,0.704863313306562,-1.7125374870768722e-19
M0-root-43101,M0,replace_object,1414,711,0.530518680154651,0.2610277300660979,0.533844060558541,0.34842584065429394,0.7387925051383751,0.5,5.4808255995209654e-18,0.5,0.5,0.5,0.530518680154651,0.2610277300660979,0.5338440605585408,0.34842584065429394,0.7387925051383751,-3.062705940034767e-19
M0-root-43101,M0,replace_relation,1219,677,0.4804024453623554,0.2437421471554751,0.4873233179810082,0.3037068937928094,0.6485525631190957,0.5,7.618110737241814e-18,0.5,0.5,0.5,0.4804024453623554,0.2437421471554751,0.4873233179810082,0.3037068937928094,0.6485525631190957,-6.067688613165553e-19
M0-root-43101,M0,swap_atribute,585,518,0.47684789012658346,0.10943969892047632,0.4806988755935923,0.4197370493815898,0.5440808986170882,0.5,0.0,0.5,0.5,0.5,0.47684789012658346,0.10943969892047632,0.4806988755935923,0.4197370493815898,0.5440808986170882,3.3042351923367757e-19
M0-root-43101,M0,swap_object,215,194,0.49824047615779216,0.10071343776483628,0.504574455130689,0.45108244679021314,0.5583721756977942,0.5,3.97518329520684e-18,0.5,0.5,0.5,0.49824047615779216,0.1007134377648363,0.504574455130689,0.45108244679021314,0.5583721756977942,9.53799849334327e-19
M0-root-43102,M0,replace_attribute,674,450,0.5062353989831394,0.2712691830046861,0.507458683392905,0.3116900302066858,0.7180006518963646,0.5,8.943250564992656e-18,0.5,0.5,0.5,0.5062353989831394,0.2712691830046861,0.507458683392905,0.3116900302066858,0.7180006518963646,5.279663023644227e-19
M0-root-43102,M0,replace_object,1414,711,0.5140846477253476,0.24865627566021078,0.5176892193040861,0.33499761066239464,0.7049377659989833,0.5,7.437209594297021e-18,0.5,0.5,0.5,0.5140846477253476,0.24865627566021078,0.5176892193040861,0.33499761066239464,0.7049377659989833,-4.3957713959937376e-20
M0-root-43102,M0,replace_relation,1219,677,0.4680328754455779,0.2490111194049348,0.4612578746100824,0.28717093809943983,0.6476548265659451,0.5,9.399164447514056e-18,0.5,0.5,0.5,0.4680328754455779,0.2490111194049348,0.4612578746100824,0.2871709380994399,0.6476548265659451,5.364745520733789e-19
M0-root-43102,M0,swap_atribute,585,518,0.47679916274966105,0.11883275395762392,0.4825944381765717,0.41008493495640863,0.5449270597932401,0.5,4.2122555994565666e-18,0.5,0.5,0.5,0.47679916274966105,0.11883275395762392,0.4825944381765717,0.41008493495640863,0.54492705979324,2.143287692326557e-19
M0-root-43102,M0,swap_object,215,194,0.4915942494087606,0.10999802497793115,0.5012248032919697,0.42840384260059183,0.5602640885074004,0.5,3.97518329520684e-18,0.5,0.5,0.5,0.4915942494087606,0.10999802497793115,0.5012248032919697,0.42840384260059183,0.5602640885074004,1.7645297212685047e-18
M0-root-43103,M0,replace_attribute,674,450,0.4973486403152184,0.27400530761934366,0.49559433100178785,0.28421359877075003,0.7056724557271169,0.5,5.818790592604745e-18,0.5,0.5,0.5,0.4973486403152184,0.27400530761934366,0.49559433100178785,0.28421359877075003,0.7056724557271169,-1.0104362691204721e-18
M0-root-43103,M0,replace_object,1414,711,0.515754972349975,0.25134686285153235,0.5199381340499667,0.3282545700384521,0.7155970479912701,0.5,4.63871815705522e-18,0.5,0.5,0.5,0.515754972349975,0.25134686285153235,0.5199381340499667,0.3282545700384521,0.7155970479912701,-3.185307704687136e-19
M0-root-43103,M0,replace_relation,1219,677,0.4586412368947407,0.25461740409647754,0.46063186406551987,0.2604636265966926,0.6572691645270432,0.5,8.685363393115757e-18,0.5,0.5,0.5,0.4586412368947407,0.25461740409647754,0.46063186406551987,0.2604636265966926,0.6572691645270432,1.0900208842925413e-18
M0-root-43103,M0,swap_atribute,585,518,0.4744689415427547,0.12511578153997613,0.4817113024571962,0.4018614820538453,0.5440982298134758,0.5,4.2122555994565666e-18,0.5,0.5,0.5,0.4744689415427547,0.12511578153997613,0.4817113024571962,0.4018614820538453,0.5440982298134757,5.894041153898032e-19
M0-root-43103,M0,swap_object,215,194,0.49076563502653486,0.123909418723997,0.494756690102961,0.42254381817853126,0.5768288155891351,0.5,0.0,0.5,0.5,0.5,0.49076563502653486,0.123909418723997,0.494756690102961,0.42254381817853126,0.5768288155891352,-3.195229495269995e-18
M1-root-none,M1,replace_attribute,674,450,0.4997100813205587,0.2528530005121279,0.4948162467894931,0.32600761459321237,0.6872827040150461,0.5000968532733321,0.022939109184600865,0.5000912106087103,0.4917386326559301,0.5105537544007892,0.499903787867223,0.25635676209076447,0.49316007826494784,0.3154385587009505,0.6856962637088688,-0.00019370654666422027
M1-root-none,M1,replace_object,1414,711,0.5314498455743945,0.2564547468472369,0.5305062714180959,0.3448088686194285,0.7312995789516354,0.49794055774124046,0.019238048341874037,0.4988213695375552,0.4901407061102556,0.5072473168323407,0.5273309610568755,0.2586693737584323,0.5301090451143873,0.34092855959390683,0.7242000886130602,0.0041188845175189875
