run_id,freeze_llm,trainable_parameters,encoded_weight_bits,risk_alpha,unquantized_train_risk_bits,unquantized_validation_risk_bits,unquantized_gap_bits,q4_train_risk_bits,q4_validation_risk_bits,q4_gap_bits,q4_train_degradation_bits,best_bound_alpha,best_compression_upper_bound_bits,best_bound_beats_random_guess
a_freeze2_seed42,2,1182720,4748176,0.0001,3.8059071211218836,3.8155484199523926,0.009641298830509015,3.808771565210819,3.8179875856637953,0.009216020452976093,0.0028644440889356027,0.5,166.90686939451516,False
b_freeze1_seed42,1,15931776,63798840,0.0001,3.000050822877884,3.292960215985775,0.292909393107891,3.0132278447031973,3.3027882056832314,0.2895603609800341,0.013177021825313329,0.5,598.5111652319969,False
c_freeze0_seed42,0,65094912,260619776,0.0001,3.04584817289114,3.438267604112625,0.39241943122148504,3.2305166712760927,3.611976169168949,0.38145949789285627,0.1846684983849527,0.5,1205.8513634795195,False
