model_id,method,mapping_root,artifact_size_bytes,total_description_bits,n_unique_images,empirical_robust_positive,fixed_upper_robust_positive,compression_upper_robust_positive_raw,compression_upper_robust_positive_capped,empirical_visual_semantic_loss,fixed_upper_visual_semantic_loss,compression_upper_visual_semantic_loss_raw,compression_upper_visual_semantic_loss_capped,empirical_visual_increment,certified_visual_increment_lower,positive_brier_mean,positive_brier_dispersion,image_robust_margin,none_robust_margin,triplet_success_rate,lm_triplet_success_rate,visual_increment_success_rate
M0-root-43101,M0,43101,820,6564,1345,0.8390649078230019,0.938764171057336,3.4470541818184293,2.0,0.5,0.5,0.5,0.5,0.0,0.0,0.8040558698337205,0.03500903798928154,,-0.01790143050005714,,0.3925682207094847,0.0
M0-root-43102,M0,43102,828,6628,1345,0.8438290062440882,0.9435282694784223,3.464439974263608,2.0,0.5,0.5,0.5,0.5,0.0,0.0,0.8051446497964373,0.03868435644765075,,-0.029221932489725076,,0.3524347564868011,0.0
M0-root-43103,M0,43103,973,7788,1345,0.8445028703425282,0.9442021335768623,3.684167632131843,2.0,0.5,0.5,0.5,0.5,0.0,0.0,0.80782967403335,0.03667319630917813,,-0.027847126044036708,,0.35586150941169525,0.0
M1-root-none,M1,,1311,10492,1345,0.8445557791865131,0.9442550424208472,4.1387325872664285,2.0,0.49815079455314365,0.5480004261703106,2.1452391985931016,1.0,0.014793643574850801,-0.3840034093624851,0.8050798105959609,0.039475968590552156,-0.015716098607981472,-0.030509742182832165,0.4243023168487852,0.342232253496194,0.5843441853479028
M2-root-43101,M2,43101,1150,9204,1345,0.8430999909831456,0.9427992542174797,3.929143896474871,2.0,0.49832881618943764,0.5481784478066046,2.0413507689353003,1.0,0.01336947048449888,-0.38542758245283704,0.8059265376397379,0.03717345334340765,-0.01754853332423566,-0.03091800380873444,0.40363129435620143,0.33843686466363043,0.5767787272619986
M2-root-43102,M2,43102,1296,10372,1345,0.869960773090822,0.9696600363251561,4.1453053927272085,2.0,0.4976854525348314,0.5475350841519984,2.1353577623530247,1.0,0.018516379721349008,-0.3802806732159869,0.8286830684198017,0.04127770467102024,-0.015000163608233643,-0.0335165433295825,0.42533974905722116,0.32051663743113556,0.6101981578933251
M2-root-43103,M2,43103,1302,10420,1345,0.8489674850859523,0.9486667483202864,4.131857950947474,2.0,0.49827158343834704,0.548121215055514,2.139716816369108,1.0,0.013827332493223654,-0.38496972044411226,0.809006530889763,0.039960954196189294,-0.020527435570942967,-0.034354768064167075,0.39114117811143834,0.322381891136538,0.5829810585944415
M3-root-43101,M3,43101,804,6436,1345,0.8651926355300481,0.9648918987643822,3.447753305604167,2.0,0.4990148531736035,0.5488644847907705,1.790295188210663,1.0,0.007881174611171993,-0.39091587832616437,0.8283543941002478,0.03683824142980042,-0.020068131011247135,-0.027949305622419665,0.39625621590305604,0.3498764597649356,0.5488646689947805
M3-root-43102,M3,43102,978,7828,1345,0.8498803175976501,0.9495795808319842,3.6967978225513543,2.0,0.4993823154068053,0.5492319470239723,1.9228410678836574,1.0,0.004941476745557782,-0.39385557619177813,0.8106031628099574,0.03927715478769282,-0.022603302252712645,-0.027544778998270392,0.3667032781345049,0.34231531995472514,0.5346372111985496
M3-root-43103,M3,43103,798,6388,1345,0.860855033981264,0.960554297215598,3.433815128757981,2.0,0.49944267212536475,0.5492923037425318,1.785922719513723,1.0,0.004458622997081996,-0.39433842994025436,0.816409442951199,0.04444559103006479,-0.02266543399173852,-0.02712405698882048,0.3669877210769404,0.3646327051717386,0.5294682620147304
