method,model_count,metric,mean,standard_deviation,minimum,maximum
M0,3,empirical_robust_positive,0.842465594803206,0.0024203342963028036,0.8390649078230019,0.8445028703425282
M0,3,fixed_upper_robust_positive,0.9421648580375401,0.0024203342963028036,0.938764171057336,0.9442021335768623
M0,3,compression_upper_robust_positive_raw,3.53188726273796,0.10791215446460685,3.4470541818184293,3.684167632131843
M0,3,compression_upper_robust_positive_capped,2.0,0.0,2.0,2.0
M0,3,empirical_visual_semantic_loss,0.5,0.0,0.5,0.5
M0,3,fixed_upper_visual_semantic_loss,0.5,0.0,0.5,0.5
M0,3,compression_upper_visual_semantic_loss_raw,0.5,0.0,0.5,0.5
M0,3,compression_upper_visual_semantic_loss_capped,0.5,0.0,0.5,0.5
M0,3,empirical_visual_increment,0.0,0.0,0.0,0.0
M0,3,certified_visual_increment_lower,0.0,0.0,0.0,0.0
M0,3,positive_brier_mean,0.8056767312211693,0.001585924024282389,0.8040558698337205,0.80782967403335
M0,3,positive_brier_dispersion,0.036788863582036806,0.0015026699861946373,0.03500903798928154,0.03868435644765075
M0,3,none_robust_margin,-0.024990163011272975,0.005043815992708485,-0.029221932489725076,-0.01790143050005714
M0,3,triplet_success_rate,,,,
M0,3,lm_triplet_success_rate,0.366954828869327,0.018165352369647003,0.3524347564868011,0.3925682207094847
M0,3,visual_increment_success_rate,0.0,0.0,0.0,0.0
M0,3,image_robust_margin,,,,
M1,1,empirical_robust_positive,0.8445557791865131,0.0,0.8445557791865131,0.8445557791865131
M1,1,fixed_upper_robust_positive,0.9442550424208472,0.0,0.9442550424208472,0.9442550424208472
M1,1,compression_upper_robust_positive_raw,4.1387325872664285,0.0,4.1387325872664285,4.1387325872664285
M1,1,compression_upper_robust_positive_capped,2.0,0.0,2.0,2.0
M1,1,empirical_visual_semantic_loss,0.49815079455314365,0.0,0.49815079455314365,0.49815079455314365
M1,1,fixed_upper_visual_semantic_loss,0.5480004261703106,0.0,0.5480004261703106,0.5480004261703106
M1,1,compression_upper_visual_semantic_loss_raw,2.1452391985931016,0.0,2.1452391985931016,2.1452391985931016
M1,1,compression_upper_visual_semantic_loss_capped,1.0,0.0,1.0,1.0
M1,1,empirical_visual_increment,0.014793643574850801,0.0,0.014793643574850801,0.014793643574850801
M1,1,certified_visual_increment_lower,-0.3840034093624851,0.0,-0.3840034093624851,-0.3840034093624851
M1,1,positive_brier_mean,0.8050798105959609,0.0,0.8050798105959609,0.8050798105959609
M1,1,positive_brier_dispersion,0.039475968590552156,0.0,0.039475968590552156,0.039475968590552156
M1,1,none_robust_margin,-0.030509742182832165,0.0,-0.030509742182832165,-0.030509742182832165
M1,1,triplet_success_rate,0.4243023168487852,0.0,0.4243023168487852,0.4243023168487852
M1,1,lm_triplet_success_rate,0.342232253496194,0.0,0.342232253496194,0.342232253496194
M1,1,visual_increment_success_rate,0.5843441853479028,0.0,0.5843441853479028,0.5843441853479028
M1,1,image_robust_margin,-0.015716098607981472,0.0,-0.015716098607981472,-0.015716098607981472
M2,3,empirical_robust_positive,0.85400941638664,0.011530863144612012,0.8430999909831456,0.869960773090822
M2,3,fixed_upper_robust_positive,0.953708679620974,0.011530863144612012,0.9427992542174797,0.9696600363251561
M2,3,compression_upper_robust_positive_raw,4.068769080049851,0.0988824296453959,3.929143896474871,4.1453053927272085
M2,3,compression_upper_robust_positive_capped,2.0,0.0,2.0,2.0
M2,3,empirical_visual_semantic_loss,0.4980952840542054,0.00029073504851627056,0.4976854525348314,0.49832881618943764
M2,3,fixed_upper_visual_semantic_loss,0.5479449156713723,0.00029073504851627056,0.5475350841519984,0.5481784478066046
M2,3,compression_upper_visual_semantic_loss_raw,2.105475115885811,0.045377668823999594,2.0413507689353003,2.139716816369108
M2,3,compression_upper_visual_semantic_loss_capped,1.0,0.0,1.0,1.0
M2,3,empirical_visual_increment,0.015237727566357181,0.0023258803881301645,0.01336947048449888,0.018516379721349008
M2,3,certified_visual_increment_lower,-0.38355932537097875,0.002325880388130164,-0.38542758245283704,-0.3802806732159869
M2,3,positive_brier_mean,0.8145387123164342,0.010080300815260148,0.8059265376397379,0.8286830684198017
M2,3,positive_brier_dispersion,0.03947070407020573,0.001711038403927587,0.03717345334340765,0.04127770467102024
M2,3,none_robust_margin,-0.03292977173416134,0.0014631160390868256,-0.034354768064167075,-0.03091800380873444
M2,3,triplet_success_rate,0.40670407384162033,0.014129568146454292,0.39114117811143834,0.42533974905722116
M2,3,lm_triplet_success_rate,0.32711179774376803,0.008044155161809566,0.32051663743113556,0.33843686466363043
M2,3,visual_increment_success_rate,0.5899859812499217,0.014514734857779425,0.5767787272619986,0.6101981578933251
M2,3,image_robust_margin,-0.01769204416780409,0.0022587799596396336,-0.020527435570942967,-0.015000163608233643
M3,3,empirical_robust_positive,0.858642662369654,0.006444000373815528,0.8498803175976501,0.8651926355300481
M3,3,fixed_upper_robust_positive,0.9583419256039881,0.006444000373815528,0.9495795808319842,0.9648918987643822
M3,3,compression_upper_robust_positive_raw,3.526122085637834,0.12082004130573365,3.433815128757981,3.6967978225513543
M3,3,compression_upper_robust_positive_capped,2.0,0.0,2.0,2.0
M3,3,empirical_visual_semantic_loss,0.49927994690192445,0.00018906215373992125,0.4990148531736035,0.49944267212536475
M3,3,fixed_upper_visual_semantic_loss,0.5491295785190915,0.00018906215373991122,0.5488644847907705,0.5492923037425318
M3,3,compression_upper_visual_semantic_loss_raw,1.8330196585360146,0.06353840730101257,1.785922719513723,1.9228410678836574
M3,3,compression_upper_visual_semantic_loss_capped,1.0,0.0,1.0,1.0
M3,3,empirical_visual_increment,0.005760424784603924,0.00151249722991937,0.004458622997081996,0.007881174611171993
