model_id,category,n_unique_images,row_count,robust_positive_brier_risk,visual_semantic_loss,visual_increment,triplet_success_rate
M0-root-43101,replace_attribute,450,676,0.8381152767274115,0.5,0.0,
M0-root-43101,replace_object,711,1415,0.8395773422799087,0.5,0.0,
M0-root-43101,replace_relation,678,1232,0.842979768393314,0.5,0.0,
M0-root-43101,swap_atribute,518,585,0.8374683544557527,0.5,0.0,
M0-root-43101,swap_object,196,217,0.8306515279168986,0.5,0.0,
M0-root-43102,replace_attribute,450,676,0.8408488766131579,0.5,0.0,
M0-root-43102,replace_object,711,1415,0.8475545335699012,0.5,0.0,
M0-root-43102,replace_relation,678,1232,0.8493090429034674,0.5,0.0,
M0-root-43102,swap_atribute,518,585,0.8376064096293394,0.5,0.0,
M0-root-43102,swap_object,196,217,0.8334339084673901,0.5,0.0,
M0-root-43103,replace_attribute,450,676,0.8396644904988783,0.5,0.0,
M0-root-43103,replace_object,711,1415,0.8451284005252956,0.5,0.0,
M0-root-43103,replace_relation,678,1232,0.8524441432416614,0.5,0.0,
M0-root-43103,swap_atribute,518,585,0.8402890158167523,0.5,0.0,
M0-root-43103,swap_object,196,217,0.8377779075483076,0.5,0.0,
M1-root-none,replace_attribute,450,676,0.8424300077778322,0.4975649997619567,0.019480001904346324,0.42944444444444446
M1-root-none,replace_object,711,1415,0.8487384481213208,0.4983904583163933,0.01287633346885345,0.37784810126582274
M1-root-none,replace_relation,678,1232,0.8510288580490191,0.4982755591543419,0.013795526765264944,0.4109882005899705
M1-root-none,swap_atribute,518,585,0.838132151247912,0.49781957178339453,0.017443425732843354,0.49195624195624194
M1-root-none,swap_object,196,217,0.837495877223761,0.4986193664245257,0.011045068603794589,0.3886054421768707
M2-root-43101,replace_attribute,450,676,0.8423785576113949,0.4977102459180686,0.01831803265545103,0.4275925925925926
M2-root-43101,replace_object,711,1415,0.8451484924350834,0.49848467353652803,0.012122611707775904,0.37653539615564935
M2-root-43101,replace_relation,678,1232,0.8497889389667656,0.4985829787990014,0.011336169607988618,0.3953048180924287
M2-root-43101,swap_atribute,518,585,0.8353567842005762,0.49797767332180887,0.016178613425528527,0.4575289575289575
M2-root-43101,swap_object,196,217,0.838678277572807,0.49849199672185235,0.012064026225180852,0.38095238095238093
M2-root-43102,replace_attribute,450,676,0.8701817260075497,0.4970319216505245,0.023744626795804063,0.4270370370370371
M2-root-43102,replace_object,711,1415,0.8722217538269595,0.4977157488000739,0.018274009599408465,0.41483825597749646
M2-root-43102,replace_relation,678,1232,0.8791014149726433,0.4979819124267824,0.016144700585740857,0.3995575221238938
M2-root-43102,swap_atribute,518,585,0.8625623994294741,0.4974096228957099,0.0207230168343204,0.4591377091377091
M2-root-43102,swap_object,196,217,0.8622546304448121,0.4981042932288176,0.01516565416945892,0.42517006802721086
M2-root-43103,replace_attribute,450,676,0.8501455765962601,0.49780178768491307,0.01758569852069572,0.37629629629629624
M2-root-43103,replace_object,711,1415,0.8512845848194042,0.49870862732722177,0.010330981382226028,0.3613924050632911
M2-root-43103,replace_relation,678,1232,0.8567717988699703,0.49844493151421687,0.012440547886265182,0.3764257620452311
M2-root-43103,swap_atribute,518,585,0.8409756702806038,0.49755591287024725,0.019552697038021483,0.46283783783783783
M2-root-43103,swap_object,196,217,0.8441502616620388,0.4985996037658278,0.011203169873377094,0.3639455782312925
M3-root-43101,replace_attribute,450,676,0.8665436069060255,0.4984913209825754,0.012069432139396668,0.38981481481481484
M3-root-43101,replace_object,711,1415,0.8678193460061859,0.49949008659894095,0.004079307208472554,0.3634786685419597
M3-root-43101,replace_relation,678,1232,0.8727101102617872,0.499575324611502,0.0033974031079835247,0.38062930186823984
M3-root-43101,swap_atribute,518,585,0.8569271461882341,0.4984201538080452,0.012638769535637882,0.4337194337194337
M3-root-43101,swap_object,196,217,0.8574419023633814,0.4984814074321264,0.0121487405429892,0.3979591836734694
M3-root-43102,replace_attribute,450,676,0.8510945432936704,0.49891167369567685,0.008706610434585147,0.3672222222222222
M3-root-43102,replace_object,711,1415,0.8496583226039497,0.4996637322806762,0.0026901417545907884,0.3521800281293952
M3-root-43102,replace_relation,678,1232,0.855164076783488,0.4998251023895548,0.00139918088356185,0.3366764995083579
M3-root-43102,swap_atribute,518,585,0.8460423704452497,0.49861343008522396,0.01109255931820802,0.4078185328185328
M3-root-43102,swap_object,196,217,0.8434851829494748,0.5001925306686131,-0.0015402453489044084,0.37074829931972786
M3-root-43103,replace_attribute,450,676,0.8600227099546679,0.498655281017224,0.01075775186220805,0.3718518518518519
M3-root-43103,replace_object,711,1415,0.8652223525629097,0.49978954936720454,0.0016836050623635762,0.34910923581809655
M3-root-43103,replace_relation,678,1232,0.8681205864134909,0.5001270230542667,-0.0010161844341335282,0.3496804326450344
M3-root-43103,swap_atribute,518,585,0.852460957689635,0.49904518511668905,0.007638519066487807,0.40170527670527667
M3-root-43103,swap_object,196,217,0.8557227717167667,0.49904377676141093,0.007649785908712011,0.39540816326530615
