budget,experiment_seed,difference_direction,total_coordinate_budget,delta_language_risk,delta_visual_risk,delta_total_semantic_risk,delta_description_bits
low,43101,M3_minus_M2,2048,-0.0026164757845967834,4.989283668560551e-05,-0.0025166901112255724,-2176
low,43102,M3_minus_M2,2048,-0.0016544058060860567,0.0006414875410052923,-0.00037143072407530564,-2376
low,43103,M3_minus_M2,2048,-0.004125197512087453,0.00014383101601134207,-0.003837535480064491,-2080
current,43101,M3_minus_M2,4096,-0.0015240952422260756,0.0012673561407550715,0.001010617039284012,-2768
current,43102,M3_minus_M2,4096,0.008309877364757468,0.0005319791076158209,0.00937383557998922,-2544
current,43103,M3_minus_M2,4096,-0.0021274418649154803,0.00013082908681816274,-0.0018657836912790993,-4032
high,43101,M3_minus_M2,8192,0.002580158373750585,0.0003873943804395541,0.003354947134629749,-6080
high,43102,M3_minus_M2,8192,0.005144952121258095,0.0003475224592724979,0.005839997039802869,-7872
high,43103,M3_minus_M2,8192,-0.0009658904364279186,-0.00024010133488189256,-0.0014460931061917037,-8488
