budget,method,root_count,standard_deviation_definition,empirical_language_risk_mean,empirical_language_risk_standard_deviation,empirical_visual_risk_mean,empirical_visual_risk_standard_deviation,empirical_total_semantic_risk_mean,empirical_total_semantic_risk_standard_deviation,empirical_visual_gain_mean,empirical_visual_gain_standard_deviation,archive_bits_mean,archive_bits_standard_deviation,total_description_bits_mean,total_description_bits_standard_deviation,delta_language_risk_mean,delta_language_risk_standard_deviation,delta_language_risk_signs,delta_language_risk_sign_consistent,delta_visual_risk_mean,delta_visual_risk_standard_deviation,delta_visual_risk_signs,delta_visual_risk_sign_consistent,delta_total_semantic_risk_mean,delta_total_semantic_risk_standard_deviation,delta_total_semantic_risk_signs,delta_total_semantic_risk_sign_consistent,delta_description_bits_mean,delta_description_bits_standard_deviation,delta_description_bits_signs,delta_description_bits_sign_consistent
low,M2,3,population,0.4940296748247905,0.000935542149098096,0.49988814485334965,0.0001062095501892568,0.49380596453148967,0.0010826815349251396,0.00022371029330074525,0.00021241910037847247,5720.0,102.65800829290751,5725.0,102.65800829290751,-0.002798693034256764,0.0010168924093093815,negative|negative|negative,True,0.0002784037979007466,0.0002595874274868544,positive|positive|positive,True,-0.0022418854384551232,0.0014283110657941586,negative|negative|negative,True,-2210.6666666666665,123.30269889810018,negative|negative|negative,True
low,M3,3,population,0.49123098179053376,0.0002997781923838229,0.5001665486512504,0.00026185034291663866,0.4915640790930346,0.0003759361140558866,-0.00033309730250083463,0.0005237006858333381,3509.3333333333335,30.169889330626027,3514.3333333333335,30.169889330626027,-0.002798693034256764,0.0010168924093093815,negative|negative|negative,True,0.0002784037979007466,0.0002595874274868544,positive|positive|positive,True,-0.0022418854384551232,0.0014283110657941586,negative|negative|negative,True,-2210.6666666666665,123.30269889810018,negative|negative|negative,True
current,M2,3,population,0.49155773254497365,0.00046806417204282126,0.4997635799296243,0.00017832506726216612,0.49108489240422215,0.0005538965645549948,0.0004728401407514593,0.0003566501345243327,9994.666666666666,562.2557741415873,9999.666666666666,562.2557741415873,0.0015527800858719705,0.004784334123924249,negative|positive|negative,False,0.000643388111729685,0.00047062540711331454,positive|positive|positive,True,0.002839556309331378,0.004767321014357896,positive|positive|negative,False,-3114.6666666666665,655.0670873192217,negative|negative|negative,True
current,M3,3,population,0.49311051263084565,0.004374755676036962,0.500406968041354,0.0003230246254014759,0.4939244487135535,0.004213497395559234,-0.0008139360827079555,0.0006460492508029351,6880.0,667.7963761506946,6885.0,667.7963761506946,0.0015527800858719705,0.004784334123924249,negative|positive|negative,False,0.000643388111729685,0.00047062540711331454,positive|positive|positive,True,0.002839556309331378,0.004767321014357896,positive|positive|negative,False,-3114.6666666666665,655.0670873192217,negative|negative|negative,True
high,M2,3,population,0.4901339924822828,0.0028906680690711736,0.5000405236985256,0.00011861284355808946,0.49021503987933396,0.0026535011582331843,-8.104739705118394e-05,0.00023722568711618766,17512.0,496.0430088880063,17517.0,496.0430088880063,0.002253073352860254,0.0025054391031480235,positive|positive|negative,False,0.00016493850161005316,0.00028686860451369785,positive|positive|negative,False,0.0025829503560803047,0.0030242091719387665,positive|positive|negative,False,-7480.0,1021.3925135160658,negative|negative|negative,True
high,M3,3,population,0.4923870658351431,0.00040656838741915833,0.5002054622001356,0.00039256655780146,0.4927979902354143,0.000533326055529909,-0.00041092440027125,0.0007851331156028771,10032.0,924.1991127457329,10037.0,924.1991127457329,0.002253073352860254,0.0025054391031480235,positive|positive|negative,False,0.00016493850161005316,0.00028686860451369785,positive|positive|negative,False,0.0025829503560803047,0.0030242091719387665,positive|positive|negative,False,-7480.0,1021.3925135160658,negative|negative|negative,True
